Date,Price,Open,High,Low,Volume,Chg%
"Dec 17, 2015","24,766","25,302","25,302","24,671",20.77K,-2.39%
"Dec 16, 2015","25,372","25,235","25,400","25,122",13.48K,0.79%
"Dec 15, 2015","25,173","25,256","25,317","25,111",12.67K,-0.33%
"Dec 14, 2015","25,256","25,518","25,539","25,241",14.42K,-1.27%
"Dec 11, 2015","25,581","25,300","25,610","25,162",18.05K,1.00%
"Dec 10, 2015","25,328","25,455","25,455","25,303",10.14K,-0.67%
"Dec 09, 2015","25,499","25,470","25,637","25,333",15.12K,0.29%
"Dec 08, 2015","25,424","25,406","25,515","25,275",11.44K,-0.07%
"Dec 07, 2015","25,443","25,589","25,620","25,410",9.90K,-0.73%
"Dec 04, 2015","25,631","25,110","25,750","25,066",0.09K,2.35%
"Dec 03, 2015","25,043","24,890","25,149","24,803",0.04K,0.59%
"Dec 02, 2015","24,895","25,169","25,190","24,860",0.24K,-0.49%
"Dec 01, 2015","25,018","25,189","25,250","24,975",3.71K,-0.38%
"Nov 30, 2015","25,114","24,961","25,180","24,950",10.33K,0.17%
"Nov 27, 2015","25,071","25,221","25,281","24,981",13.07K,-0.86%
"Nov 26, 2015","25,288","25,260","25,346","25,250",8.98K,0.23%
"Nov 25, 2015","25,230","25,250","25,280","25,154",7.60K,-0.30%
"Nov 24, 2015","25,305","25,199","25,395","25,173",13.98K,0.50%
"Nov 23, 2015","25,180","25,235","25,287","25,084",13.97K,-0.29%
"Nov 20, 2015","25,252","25,356","25,496","25,214",16.28K,-0.22%
"Nov 19, 2015","25,308","25,199","25,442","25,110",20.14K,0.80%
"Nov 18, 2015","25,108","25,000","25,180","25,000",13.28K,0.28%
"Nov 17, 2015","25,038","25,284","25,375","24,978",17.53K,-1.27%
"Nov 16, 2015","25,360","25,488","25,740","25,336",16.64K,-0.11%
"Nov 13, 2015","25,388","25,395","25,519","25,351",10.87K,0.19%
"Nov 12, 2015","25,341","25,480","25,555","25,223",9.56K,-0.58%
"Nov 11, 2015","25,490","25,523","25,548","25,477",2.70K,-0.45%
"Nov 10, 2015","25,604","25,710","25,750","25,510",11.94K,-0.37%
"Nov 09, 2015","25,699","25,619","25,780","25,619",13.21K,0.63%
"Nov 06, 2015","25,538","25,834","25,918","25,485",17.49K,-0.98%
"Nov 05, 2015","25,791","25,661","25,917","25,661",0.27K,0.57%
"Nov 04, 2015","25,646","25,950","25,993","25,126",1.19K,-0.84%
"Nov 03, 2015","25,863","26,240","26,310","25,833",1.25K,-1.39%
"Nov 02, 2015","26,228","26,450","26,450","26,181",3.90K,-0.48%
"Oct 30, 2015","26,355","26,464","26,464","26,281",8.80K,-0.43%
"Oct 29, 2015","26,470","26,800","26,800","26,450",12.52K,-1.71%
"Oct 28, 2015","26,930","26,824","27,033","26,797",12.54K,0.52%
"Oct 27, 2015","26,790","26,678","26,820","26,650",8.79K,0.38%
"Oct 26, 2015","26,689","26,750","26,790","26,642",8.55K,0.05%
"Oct 23, 2015","26,676","26,759","26,965","26,602",16.27K,-0.23%
"Oct 22, 2015","26,737","26,850","26,877","26,715",6.53K,-0.31%
"Oct 21, 2015","26,821","27,036","27,080","26,801",12.72K,-0.64%
"Oct 20, 2015","26,993","26,821","27,058","26,756",15.06K,0.41%
"Oct 19, 2015","26,882","26,950","26,950","26,803",11.29K,-0.54%
"Oct 16, 2015","27,029","27,102","27,102","26,942",13.69K,-0.42%
"Oct 15, 2015","27,142","27,130","27,228","26,940",20.30K,0.20%
"Oct 14, 2015","27,088","26,920","27,164","26,756",21.56K,0.80%
"Oct 13, 2015","26,872","26,640","26,916","26,503",20.36K,0.73%
"Oct 12, 2015","26,678","26,626","26,820","26,527",16.37K,0.61%
"Oct 09, 2015","26,515","26,311","26,595","26,263",16.34K,0.62%
"Oct 08, 2015","26,351","26,400","26,499","26,240",15.30K,-0.37%
